"IndicatorName","IndicatorValue","IndicatorValueYear"
"Вуличне освітлення","466 ",2010
"Випадки хуліганства","72 ",2010
"Вуличне освітлення","302 ",2011
"Випадки хуліганства","72 ",2011
"Вуличне освітлення","260 ",2012
"Випадки хуліганства","64 ",2012
"Вуличне освітлення","369 ",2013
"Випадки хуліганства","767 ",2013
"Вуличне освітлення","521 ",2014
"Випадки хуліганства","530 ",2014
"Вуличне освітлення","773 ",2015
"Випадки хуліганства","313 ",2015
"Вуличне освітлення","1257 ",2016
"Випадки хуліганства","115 ",2016
"Вуличне освітлення","2342 ",2017
"Випадки хуліганства","81 ",2017
"Вуличне освітлення","2700",2018
"Випадки хуліганства","71",2018
"Вуличне освітлення","3242",2019
"Випадки хуліганства","74",2019
